Date : 2020-08-13 12:53:51
Directory : /Users/planb/Desktop/idea code/Spring Cloud/Algorithm/src/cn/nuaa/edu
Total : 172 files,  5921 codes, 1623 comments, 977 blanks, all 8521 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |        172 |      5,921 |      1,623 |        977 |      8,521 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        172 |      5,921 |      1,623 |        977 |      8,521 |
| cas                                                                                                            |          4 |        137 |         48 |         33 |        218 |
| juc                                                                                                            |         16 |        615 |        207 |        105 |        927 |
| jvm                                                                                                            |          7 |        124 |         92 |         33 |        249 |
| leetcode                                                                                                       |         40 |      1,226 |        268 |        186 |      1,680 |
| lock                                                                                                           |          2 |        102 |         24 |         16 |        142 |
| nowcoder                                                                                                       |         21 |        610 |        145 |         99 |        854 |
| nowcoder/163                                                                                                   |         12 |        416 |         94 |         62 |        572 |
| nowcoder/huawei                                                                                                |          9 |        194 |         51 |         37 |        282 |
| offer                                                                                                          |         22 |      1,262 |        312 |        170 |      1,744 |
| practice                                                                                                       |         23 |        687 |        157 |        110 |        954 |
| reflect                                                                                                        |          6 |        148 |         41 |         32 |        221 |
| stream                                                                                                         |          5 |        181 |         34 |         36 |        251 |
| test                                                                                                           |         16 |        431 |        217 |        113 |        761 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                       | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/planb/Desktop/idea code/Spring Cloud/Algorithm/src/cn/nuaa/edu/BinarySearchTree.java                    | Java     |         58 |         14 |          4 |         76 |
| /Users/planb/Desktop/idea code/Spring Cloud/Algorithm/src/cn/nuaa/edu/BubbleSort.java                          | Java     |         21 |          5 |          4 |         30 |
| /Users/planb/Desktop/idea code/Spring Cloud/Algorithm/src/cn/nuaa/edu/DynamicProgramming.java                  | Java     |         72 |         13 |         12 |         97 |
